"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","AIREMISSION","CO2","MLN_TONNE","A","2018",100.749119,
"CZE","AIREMISSION","CO2","MLN_TONNE","A","2019",95.6854997,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","1995",58.385219,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","1996",71.637803,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","1997",61.886608,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","1998",57.966888,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","1999",54.780958,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2000",50.833866,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2001",52.412499,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2002",52.122679,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2003",57.522118,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2004",51.880485,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2005",48.524936,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2006",56.431166,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2007",51.663967,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2008",48.693869,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2009",46.959299,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2010",47.288433,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2011",42.066014,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2012",37.171576,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2013",38.896978,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2014",34.709752,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2015",32.507165,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2016",34.100207,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2017",31.960309,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2018",32.022456,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2019",28.7309945,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","1995",55.714578,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","1996",62.192974,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","1997",60.173993,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","1998",56.817756,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","1999",56.031327,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2000",54.592688,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2001",60.584543,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2002",62.954778,
